panel_uid,source_record_id,source_doi,source_doi_url,paper_title,figure_id,panel_id,panel_label,panel_type_anchoring,panel_type_curve_extraction,plot_area_box_cropped,x_axis_label,x_axis_units,x_axis_type,x_tick_labels,y_axis_label,y_axis_units,y_axis_type,y_tick_labels,legend_entries,raw_curve_count_current_response,publication_included_panel,analysis_bucket,relevance_group,reaction_type_publication,final_HER_category,curve_family_publication,measurement_configuration_publication,electrolyte_text_publication,enrich_reaction_type_panel,enrich_electrolyte_family_panel,enrich_electrolyte_text_panel,enrich_curve_family_panel,enrich_measurement_configuration_panel,panel_enrichment_manual_review_required
batch0/case6/figure_5__panel_b,batch0/case6,10.1002/adma.202410039,https://doi.org/10.1002/adma.202410039,Rationally Designed Mo/Ru-Based Multi-Site Heterogeneous Electrocatalyst for Accelerated Alkaline Hydrogen Evolution Reaction,figure_5,b,(b),2d line plot,lsv,"[83,7,420,256]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",j,A mg_noble metal^-1,linear,"[""0"",""-5"",""-10"",""-15"",""-20""]","[""Ru/Mo2C/MoO2"",""Pt/C""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 m KOH,HER,alkaline,1 m KOH,lsv,three_electrode_half_cell,False
batch0/case7/figure_4__panel_a,batch0/case7,10.1002/adma.202410537,https://doi.org/10.1002/adma.202410537,WS2 Moiré Superlattices Supporting Au Nanoclusters and Isolated Ru to Boost Hydrogen Production,figure_4,a,a,multi-series line plot,HER polarization curve panel,"[72,25,433,317]",Potential,V vs.RHE,linear,"[""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80""]","[""Ru1/Au_n-5LWS2"",""Ru1/Au_n-1LWS2"",""Ru1/Au_n-2LWS2"",""Au_n-2LWS2"",""Ru/C"",""Ru1/2LWS2"",""Pt/C""]",7,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch0/case7/figure_4__panel_d,batch0/case7,10.1002/adma.202410537,https://doi.org/10.1002/adma.202410537,WS2 Moiré Superlattices Supporting Au Nanoclusters and Isolated Ru to Boost Hydrogen Production,figure_4,d,d,2D Cartesian scatter/curve plot (ECSA-normalized polarization curves),lsv_polarization_curve_panel,"[71,24,432,316]",Potential,V vs.RHE,linear,"[""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm^-2_ECSA,linear,"[""0.00"",""-0.05"",""-0.10"",""-0.15""]","[""Ru1/Au_n-5LWS2"",""Ru1/Au_n-1LWS2"",""Ru1/Au_n-2LWS2""]",3,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,1.0 m KOH,HER,alkaline,1.0 m KOH,polarization_curve,three_electrode_half_cell,False
batch0/case8/figure_3__panel_a,batch0/case8,10.1002/adma.202411134,https://doi.org/10.1002/adma.202411134,"A ""Two-Pronged"" Strategy to Boost Hydrogen Evolution Kinetics on NiFe-Based (Oxy)hydroxides via Oxygen Deficient Ni-Mo-Fe Coordinate Structures for Ultra-Stable Ampere-Level Alkaline Overall Water Splitting | A “Two-Pronged” Strategy to Boost Hydrogen Evolution Kinetics on NiFe-Based (Oxy)hydroxides via Oxygen Deficient Ni-Mo-Fe Coordinate Structures for Ultra-Stable Ampere-Level Alkaline Overall Water Splitting",figure_3,a,(a),2D line plot (LSV polarization curves),lsv,"[89,53,428,327]",Potential,V vs. RHE,linear,"[""-0.6"",""-0.4"",""-0.2"",""0.0""]",Current density,mA cm^-2,linear,"[""0"",""-200"",""-400"",""-600"",""-800"",""-1000""]","[""NFM-OV_R/NF"",""NFM-OV_P/NF"",""NF-OV_R/NF"",""NF-OV_P/NF"",""Pt/C/NF""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,N2-saturated 1.0 M KOH solution,HER,alkaline,N2-saturated 1.0 M KOH solution,lsv,three_electrode_half_cell,False
batch0/case9/figure_3__panel_a,batch0/case9,10.1002/adma.202411942,https://doi.org/10.1002/adma.202411942,Unlocking Efficient Alkaline Hydrogen Evolution Through Ru–Sn Dual Metal Sites and a Novel Hydroxyl Spillover Effect,figure_3,a,a,electrochemical LSV line plot,lsv_curve_plot,"[72,10,443,293]",Potential,V vs. RHE,linear,"[""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA/cm^2,linear,"[""0"",""-50"",""-100"",""-150"",""-200""]","[""Com. RuO2"",""Com. Pt/C"",""Ru NS"",""Ru-Sn NS"",""Ru-Sn/SnO2 NS""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH aqueous solution,HER,alkaline,1.0 M KOH aqueous solution,lsv,three_electrode_half_cell,False
batch0/case9/figure_3__panel_f,batch0/case9,10.1002/adma.202411942,https://doi.org/10.1002/adma.202411942,Unlocking Efficient Alkaline Hydrogen Evolution Through Ru–Sn Dual Metal Sites and a Novel Hydroxyl Spillover Effect,figure_3,f,f,line plot,polarization_curve,"[74,8,446,287]",Potential,V vs. RHE,linear,"[""-0.30"",""-0.25"",""-0.20"",""-0.15"",""-0.10"",""-0.05"",""0.00""]",Current density,mA/cm²,linear,"[""0"",""-50"",""-100"",""-150"",""-200""]","[""initial"",""After 10000 cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,1.0 M KOH aqueous solution,HER,alkaline,1.0 M KOH aqueous solution,polarization_curve,three_electrode_half_cell,False
batch0/case10/figure_4__panel_a,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,a,a,multi_curve_line_plot,lsv_plot,"[70,12,428,280]",Potential vs. RHE,V,linear,"[""-0.20"",""-0.15"",""-0.10"",""-0.05"",""0.00""]",Current density,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""Ir/C"",""Pt/C"",""A1-Ir2Ce/C"",""C15-Ir2Ce/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,N2-saturated aqueous 0.5 M H2SO4,HER,acidic,N2-saturated aqueous 0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch0/case10/figure_4__panel_b,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,b,b,multi-curve line plot,lsv,"[85,13,441,278]",Potential vs. RHE,V,linear,"[""-0.20"",""-0.15"",""-0.10"",""-0.05"",""0.00""]",Current density,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""Ir/C"",""Pt/C"",""A1-Ir2Ce/C"",""C15-Ir2Ce/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 M KOH,HER,alkaline,1 M KOH,lsv,three_electrode_half_cell,False
batch0/case10/figure_4__panel_c,batch0/case10,10.1002/adma.202412541,https://doi.org/10.1002/adma.202412541,Topologically Close-Packed Frank-Kasper C15 Phase Intermetallic Ir Alloy Electrocatalysts Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_4,c,c,multi-series line plot,LSV plot,"[72,13,428,279]",Potential vs. RHE,V,linear,"[""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm^-2,linear,"[""0"",""-10"",""-20"",""-30"",""-40"",""-50"",""-60""]","[""Ir/C"",""Pt/C"",""A1-Ir2Ce/C"",""C15-Ir2Ce/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,N2-saturated aqueous 1 M phosphate buffer saline (PBS),HER,buffered,N2-saturated aqueous 1 M phosphate buffer saline (PBS),lsv,three_electrode_half_cell,False
batch0/case11/figure_9__panel_a,batch0/case11,10.1002/adma.202418527,https://doi.org/10.1002/adma.202418527,3D-Porous Electrocatalyst with Tip-Enhanced Electric Field Effect Enables High-Performance Proton Exchange Membrane Water Electrolyzer,figure_9,a,a,2D line plot,LSV,"[104,12,637,489]",Potential,V vs. RHE,linear,"[""-0.3"",""-0.2"",""-0.1"",""0.0""]",J,mA cm^-2_Pt,linear,"[""0"",""-5"",""-10"",""-15"",""-20"",""-25"",""-30"",""-35"",""-40""]","[""Alfa Pt/C"",""Pt/TiAl-nanoparticle"",""Pt/TiAl-nanocube"",""Pt/TiAl-nanocone""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.1 M HClO4,HER,acidic,0.1 M HClO4,lsv,three_electrode_half_cell,False
batch0/case12/figure_3__panel_a,batch0/case12,10.1002/adma.202419360,https://doi.org/10.1002/adma.202419360,Enhanced Hydrogen Evolution Reaction in Alkaline Media via Ruthenium-Chromium Atomic Pairs Modified Ruthenium Nanoparticles,figure_3,a,(a),line plot,polarization_curve,"[53,11,431,315]",Potential,V vs RHE,linear,"[""-0.2"",""-0.1"",""0.0"",""0.1"",""0.2""]",Current density,mA.cm^-2,linear,"[""0"",""-10"",""-20"",""-30"",""-40""]","[""RuNPs-RuCrAPs-N-C"",""Pt/C"",""RuNPs-RuSAs-N-C""]",3,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,1 M KOH,HER,alkaline,1 M KOH,polarization_curve,three_electrode_half_cell,True
batch0/case12/figure_4__panel_a,batch0/case12,10.1002/adma.202419360,https://doi.org/10.1002/adma.202419360,Enhanced Hydrogen Evolution Reaction in Alkaline Media via Ruthenium-Chromium Atomic Pairs Modified Ruthenium Nanoparticles,figure_4,a,a,line_plot,LSV polarization curve,"[96,12,673,477]",Potential,V vs RHE,linear,"[""-0.2"",""-0.1"",""0.0"",""0.1"",""0.2""]",Current density,mA.cm^-2,linear,"[""0"",""-10"",""-20"",""-30""]","[""RuNPs-RuCrAPs-N-C"",""RuNPs-RuSAs-N-C"",""RuNPs-N-C"",""CrSAs-N-C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 M KOH,HER,alkaline,1 M KOH,lsv,three_electrode_half_cell,False
batch0/case13/figure_2__panel_a,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,Size-Controllable High-Entropy Alloys Toward Stable Hydrogen Production at Industrial-Scale Current Densities,figure_2,a,a,multi_series_lsv_line_plot,LSV,"[77.0,56.0,431.0,342.0]",E,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1""]",j,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""HEA-2.81"",""HEA-3.14"",""HEA-4.74"",""HEA-4.88"",""HEA-5.74""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 m H2SO4,HER,acidic,0.5 m H2SO4,lsv,three_electrode_half_cell,False
batch0/case13/figure_3__panel_a,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,Size-Controllable High-Entropy Alloys Toward Stable Hydrogen Production at Industrial-Scale Current Densities,figure_3,a,a,multi_series_lsv_plot,lsv_curve_plot,"[81.0,45.0,419.0,317.0]",E,V vs. RHE,linear,"[""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",j,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""NP-HEA-3.14"",""NP-Ru"",""NP-Au"",""NP-Pt"",""NP-Rh"",""Pt/C"",""Rh/C"",""NP-Pd""]",8,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch0/case13/figure_3__panel_b,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,Size-Controllable High-Entropy Alloys Toward Stable Hydrogen Production at Industrial-Scale Current Densities,figure_3,b,b,2D multi-series line/scatter electrochemical plot,LSV plot,"[127.0,48.0,464.0,319.0]",E,V vs. RHE,linear,"[""-1.0"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0.0""]",j,mA cm^-2,linear,"[""0"",""-200"",""-400"",""-600"",""-800""]","[""NP-HEA-3.14"",""NP-Ru"",""NP-Au"",""NP-Pt"",""NP-Rh"",""Pt/C"",""Rh/C"",""NP-Pd""]",8,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 m H2SO4,HER,acidic,0.5 m H2SO4,lsv,three_electrode_half_cell,False
batch0/case13/figure_3__panel_e,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,Size-Controllable High-Entropy Alloys Toward Stable Hydrogen Production at Industrial-Scale Current Densities,figure_3,e,e,multi-series LSV curve plot,lsv_curve_plot,"[116.0,49.0,454.0,321.0]",E,V vs. RHE,linear,"[""-0.6"",""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",j,mA cm^-2,linear,"[""0.5"",""0.0"",""-0.5"",""-1.0"",""-1.5"",""-2.0""]","[""NP-HEA-3.14"",""NP-Ru"",""NP-Au"",""NP-Pt"",""NP-Rh"",""Pt/C"",""Rh/C"",""NP-Pd""]",8,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch0/case13/figure_3__panel_h,batch0/case13,10.1002/adma.202420173,https://doi.org/10.1002/adma.202420173,Size-Controllable High-Entropy Alloys Toward Stable Hydrogen Production at Industrial-Scale Current Densities,figure_3,h,h,inset line plot,LSV inset line plot,"[52,22,200,140]",E,V vs RHE,linear,"[""-1.2"",""-0.8"",""-0.4"",""0.0"",""0.4""]",j,mA cm^-2,linear,"[""200"",""0"",""-200"",""-400"",""-600"",""-800""]","[""Before the cycle"",""After 7000 cycles"",""After 10000 cycles"",""After 15000 cycles""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch0/case14/figure_5__a,batch0/case14,10.1002/adma.202501586,https://doi.org/10.1002/adma.202501586,In Situ Grown RuNi Alloy on ZrNiNx as a Bifunctional Electrocatalyst Boosts Industrial Water Splitting,figure_5,a,a,LSV multi-series line plot,LSV polarization plot,"[81,14,448,301]",Potential,V vs. RHE,linear,"[""-1.0"",""-0.5"",""0.0""]",Current density,mA cm^-2,linear,"[""0"",""-500"",""-1000"",""-1500"",""-2000""]","[""RuNi/ZrNiNx"",""Ni/ZrNiNx"",""Ni/NiNx"",""Pt/C (20 wt%)""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch0/case14/figure_5__i,batch0/case14,10.1002/adma.202501586,https://doi.org/10.1002/adma.202501586,In Situ Grown RuNi Alloy on ZrNiNx as a Bifunctional Electrocatalyst Boosts Industrial Water Splitting,figure_5,i,i,LSV line plot with two traces,LSV,"[79,23,446,311]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.2"",""0.0""]",Current density,A cm^-2,linear,"[""0.0"",""-0.5"",""-1.0"",""-1.5"",""-2.0""]","[""1 st"",""1000 th cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch0/case15/figure_3__panel_a,batch0/case15,10.1002/adma.202503742,https://doi.org/10.1002/adma.202503742,Dual Active Site Engineering in Porous NiW Bimetallic Alloys for Enhanced Alkaline Hydrogen Evolution Reaction,figure_3,a,(a),LSV multi-series line plot,LSV polarization plot,"[77,15,433,303]",Potential (V vs. RHE),V vs. RHE,linear,"[""-1.0"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0.0""]",Current density (mA cm^-2),mA cm^-2,linear,"[""0"",""-200"",""-400"",""-600"",""-800"",""-1000""]","[""NiW"",""PN"",""RN"",""WM"",""NM"",""Pt foil""]",6,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch0/case16/figure_2__panel_a,batch0/case16,10.1002/adma.202507525,https://doi.org/10.1002/adma.202507525,An Interlayer Anchored NiMo/MoO2 Electrocatalyst for Hydrogen Evolution Reaction in Anion Exchange Membrane Water Electrolysis at High Current Density,figure_2,a,a,xy line plot,polarization_curve,"[112,27,425,385]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current Density,mA cm^-2,linear,"[""0"",""-2000"",""-4000"",""-6000""]","[""NiMo/Int/NF"",""NiMo/NF"",""Pt/C""]",3,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 m KOH,HER,alkaline,1 m KOH,lsv,three_electrode_half_cell,False
batch0/case17/figure_3__panel_A,batch0/case17,10.1002/adma.202515230,https://doi.org/10.1002/adma.202515230,Enhancing Field Effects of Single-Atom Ru/Lignin Carbon Nanoreactors for Electrocatalytic Hydrogen Evolution by Continuous Heterogeneous Curvature,figure_3,a,A,multi-series LSV line plot,LSV plot,"[105.0,36.0,487.0,344.0]",Potential vs RHE,V,linear,"[""0.6"",""0.4"",""0.2"",""0.0""]",Current density,mA cm^-2,linear,"[""0"",""-300"",""-600"",""-900"",""-1200""]","[""HeterC-LCS"",""HomoC-LCS"",""Coml Ru/C"",""Coml Pt/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 M KOH,HER,alkaline,1 M KOH,lsv,three_electrode_half_cell,False
