curve_uid,panel_uid,source_record_id,source_doi,source_doi_url,paper_title,figure_id,panel_id,curve_index,curve_id,catalyst_name,condition_name,curve_label_current_response,condition_label_current_response,publication_curve_label,publication_condition_label,stroke_color,line_style,marker_style,visible_segment_status,sampled_point_count,publication_included_curve,publication_analysis_bucket,source_usable_for_normalization_publication,enrich_reaction_type,enrich_electrolyte_regime,enrich_electrolyte_identity,enrich_reference_scale,enrich_ir_compensation_status,enrich_measurement_configuration,enrich_curve_family,enrich_current_normalization_basis,enrich_reported_material_name,enrich_catalyst_role,enrich_material_class,enrich_active_elements,enrich_support_material,enrich_substrate_material,enrich_structural_motif,enrich_contains_pgm,enrich_bimetallic_flag,normalization_status_current,source_usable_for_normalization_current,normalized_point_count_current,x_min_current,x_max_current,y_min_current,y_max_current,x_axis_label_current,x_axis_units_current,y_axis_label_current,y_axis_units_current,x_axis_type_current,y_axis_type_current,overlay_red_flagged_point_count_current,overlay_red_manual_review_required_current
batch0/case3/figure_3__panel_a/curve_5,batch0/case3/figure_3__panel_a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,a,5,curve_5,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,blue,solid,no markers,complete,44,yes,primary_main_HER,yes,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,geometric_area,PtFeNiCuW/CNTs,other,alloy,"[""Pt"", ""Fe"", ""Ni"", ""Cu"", ""W""]",carbon nanotubes,,unknown,True,True,completed,yes,44,-0.08361581920903946,0.046327683615819314,-48.0314561136479,-0.2993404363267423,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_3__panel_d/curve_1,batch0/case3/figure_3__panel_d,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,d,1,curve_1,Pt/C,Pt/C,Pt/C,Pt/C,Pt/C,Pt/C,light gray,solid,no markers,partial,39,yes,primary_main_HER,no,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,ecsa,Pt/C,benchmark,composite,"[""Pt""]",carbon,,nanoparticle,True,False,completed,no,39,-0.07661680598328202,-0.01810382754069513,-9.847494553376906,-0.23965141612200436,Potential,V vs. RHE,SA,mA cm_ECSA^-2,linear,linear,,
batch0/case3/figure_3__panel_d/curve_2,batch0/case3/figure_3__panel_d,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,d,2,curve_2,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,red,solid,no markers,partial,30,yes,primary_main_HER,no,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,ecsa,Ru-PtFeNiCuW/CNTs,candidate,alloy,"[""Ru"", ""Pt"", ""Fe"", ""Ni"", ""Cu"", ""W""]",multi-walled carbon nanotubes,,nanoparticle,True,True,completed,no,30,-0.021183457985041808,-0.0027056753189617397,-9.869281045751634,-0.17429193899782136,Potential,V vs. RHE,SA,mA cm_ECSA^-2,linear,linear,,
batch0/case3/figure_3__panel_d/curve_3,batch0/case3/figure_3__panel_d,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,d,3,curve_3,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,purple,solid,no markers,partial,24,yes,primary_main_HER,no,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,ecsa,Ru-PtFeNiCu/CNTs,other,alloy,"[""Ru"", ""Pt"", ""Fe"", ""Ni"", ""Cu""]",multi-walled carbon nanotubes,,nanoparticle,True,True,completed,no,24,-0.11819181698196218,-0.015024197096348453,-9.738562091503269,-0.06535947712418301,Potential,V vs. RHE,SA,mA cm_ECSA^-2,linear,linear,,
batch0/case3/figure_3__panel_d/curve_4,batch0/case3/figure_3__panel_d,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,d,4,curve_4,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,orange,solid,no markers,partial,22,yes,primary_main_HER,no,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,ecsa,Ru-PtFeNiCu-CO/CNTs,other,alloy,"[""Ru"", ""Pt"", ""Fe"", ""Ni"", ""Cu""]",multi-walled carbon nanotubes,,unknown,True,True,completed,no,22,-0.06121865376154863,0.0034535855697316173,-9.607843137254902,-0.06535947712418301,Potential,V vs. RHE,SA,mA cm_ECSA^-2,linear,linear,,
batch0/case3/figure_3__panel_d/curve_5,batch0/case3/figure_3__panel_d,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_3,d,5,curve_5,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,blue,solid,no markers,complete,35,yes,primary_main_HER,yes,HER,acidic,0.5 M H2SO4,RHE,yes,three_electrode_half_cell,lsv,ecsa,PtFeNiCuW/CNTs,other,alloy,"[""Pt"", ""Fe"", ""Ni"", ""Cu"", ""W""]",multi-walled carbon nanotubes,,nanoparticle,True,True,completed,yes,35,-0.12743070831500222,0.04502859656841177,-9.825708061002178,0.06535947712418301,Potential,V vs. RHE,SA,mA cm_ECSA^-2,linear,linear,,
batch0/case3/figure_4__a/curve_1,batch0/case3/figure_4__a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,a,1,curve_1,Pt/C,Pt/C,Pt/C,Pt/C,Pt/C,Pt/C,gray,solid,no markers,partial,24,yes,primary_main_HER,no,HER,alkaline,1.0 m KOH,RHE,yes,three_electrode_half_cell,lsv,geometric_area,Pt/C,benchmark,composite,"[""Pt""]",carbon,glassy carbon,unknown,True,False,completed,no,24,-0.09143518518518513,-0.008101851851851787,-48.05694098088113,-2.4522028262676616,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_4__a/curve_2,batch0/case3/figure_4__a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,a,2,curve_2,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,Ru-PtFeNiCuW/CNTs,red,solid,no markers,partial,16,yes,primary_main_HER,ambiguous,HER,alkaline,1.0 m KOH,RHE,yes,three_electrode_half_cell,lsv,geometric_area,Ru-PtFeNiCuW/CNTs,candidate,alloy,"[""Pt"", ""Fe"", ""Ni"", ""Cu"", ""W"", ""Ru""]",carbon nanotubes,glassy carbon,nanoparticle,True,True,completed,ambiguous,16,-0.042824074074074014,0.03356481481481489,-39.76517040731505,-1.1429758935993326,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_4__a/curve_3,batch0/case3/figure_4__a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,a,3,curve_3,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,Ru-PtFeNiCu/CNTs,purple,solid,no markers,partial,23,yes,primary_main_HER,ambiguous,HER,alkaline,1.0 m KOH,RHE,yes,three_electrode_half_cell,lsv,geometric_area,Ru-PtFeNiCu/CNTs,other,alloy,"[""Pt"", ""Fe"", ""Ni"", ""Cu"", ""Ru""]",carbon nanotubes,glassy carbon,unknown,True,True,completed,ambiguous,23,-0.27546296296296297,0.019675925925925996,-44.3474646716542,-0.05195344970905817,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_4__a/curve_4,batch0/case3/figure_4__a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,a,4,curve_4,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,Ru-PtFeNiCu-CO/CNTs,yellow,solid,no markers,partial,31,yes,primary_main_HER,no,HER,alkaline,1.0 m KOH,RHE,yes,three_electrode_half_cell,lsv,geometric_area,Ru-PtFeNiCu-CO/CNTs,other,alloy,"[""Pt"", ""Fe"", ""Ni"", ""Cu"", ""Ru""]",carbon nanotubes,glassy carbon,unknown,True,True,completed,no,31,-0.11226851851851848,-0.008101851851851787,-48.92975893599335,-1.5793848711554423,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_4__a/curve_5,batch0/case3/figure_4__a,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,a,5,curve_5,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,PtFeNiCuW/CNTs,blue,solid,no markers,partial,28,yes,primary_main_HER,yes,HER,alkaline,1.0 m KOH,RHE,yes,three_electrode_half_cell,lsv,geometric_area,PtFeNiCuW/CNTs,other,alloy,"[""Pt"", ""Fe"", ""Ni"", ""Cu"", ""W""]",carbon nanotubes,glassy carbon,unknown,True,True,completed,yes,28,-0.29282407407407407,0.08217592592592601,-42.60182876142976,-0.48836242726516793,Potential,V vs. RHE,Current density,mA cm_geo^-2,linear,linear,,
batch0/case3/figure_4__e/curve_1,batch0/case3/figure_4__e,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,e,1,curve_1,after I-t,after I-t,after I-t,after I-t,after I-t,after I-t,red,solid,no markers,complete,35,yes,primary_main_HER,yes,HER,alkaline,1.0 M KOH,RHE,unclear,three_electrode_half_cell,lsv,geometric_area,Ru-PtFeNiCuW/CNTs,post_test_same_material,alloy,"[""Ru"", ""Pt"", ""Fe"", ""Ni"", ""Cu"", ""W""]",carbon nanotubes,,nanoparticle,True,True,completed,yes,35,-0.07181208053691276,0.01946308724832215,-48.970588235294116,-1.6176470588235294,Potential (V vs. RHE),V vs. RHE,Current density (mA/cm²),mA/cm²,linear,linear,,
batch0/case3/figure_4__e/curve_2,batch0/case3/figure_4__e,batch0/case3,10.1002/adma.202400433,https://doi.org/10.1002/adma.202400433,Octahedral Nanocrystals of Ru-Doped PtFeNiCuW/CNTs High-Entropy Alloy: High Performance Toward pH-Universal Hydrogen Evolution Reaction,figure_4,e,2,curve_2,initial,initial,initial,initial,initial,initial,light gray,solid,no markers,partial,19,yes,primary_main_HER,no,HER,alkaline,1.0 M KOH,RHE,unclear,three_electrode_half_cell,lsv,geometric_area,Ru-PtFeNiCuW/CNTs,candidate,alloy,"[""Ru"", ""Pt"", ""Fe"", ""Ni"", ""Cu"", ""W""]",carbon nanotubes,,nanoparticle,True,True,completed,no,19,-0.06161073825503356,-0.03261744966442953,-45.294117647058826,-13.23529411764706,Potential (V vs. RHE),V vs. RHE,Current density (mA/cm²),mA/cm²,linear,linear,,
batch0/case4/figure_4__panel_a/curve_red,batch0/case4/figure_4__panel_a,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,Thermal Shock Synthesis for Loading Sub-2 nm Ru Nanoclusters on Titanium Nitride as a Remarkable Electrocatalyst toward Hydrogen Evolution Reaction,figure_4,a,1,curve_red,HTS-Ru-NCs/TiN,HTS-Ru-NCs/TiN,HTS-Ru-NCs/TiN,HTS-Ru-NCs/TiN,HTS-Ru-NCs/TiN,HTS-Ru-NCs/TiN,red,solid with dense point markers,small circle markers,partial,10,yes,primary_main_HER,no,HER,alkaline,1.0 m KOH,RHE,unclear,three_electrode_half_cell,lsv,geometric_area,HTS-Ru-NCs/TiN,candidate,composite,"[""Ru"", ""Ti""]",TiN,glassy carbon,composite,True,True,completed,no,10,-0.0811225806451613,-0.0050322580645160995,-90.41974043715847,-4.956625683060119,Potential (V vs. RHE),V vs. RHE,Current Density (mA cm^-2),mA cm^-2,linear,linear,,
batch0/case4/figure_4__panel_a/curve_blue,batch0/case4/figure_4__panel_a,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,Thermal Shock Synthesis for Loading Sub-2 nm Ru Nanoclusters on Titanium Nitride as a Remarkable Electrocatalyst toward Hydrogen Evolution Reaction,figure_4,a,2,curve_blue,HTS-Ru-NCs/TiO2,HTS-Ru-NCs/TiO2,HTS-Ru-NCs/TiO2,HTS-Ru-NCs/TiO2,HTS-Ru-NCs/TiO2,HTS-Ru-NCs/TiO2,dark blue,solid with dense point markers,small circle markers,complete,51,yes,primary_main_HER,yes,HER,alkaline,1.0 m KOH,RHE,unclear,three_electrode_half_cell,lsv,geometric_area,HTS-Ru-NCs/TiO2,support_control,composite,"[""Ru"", ""Ti""]",TiO2,glassy carbon,composite,True,True,completed,yes,51,-0.2583225806451613,-0.0002580645161290176,-97.99351092896177,-0.45252732240438076,Potential (V vs. RHE),V vs. RHE,Current Density (mA cm^-2),mA cm^-2,linear,linear,,
batch0/case4/figure_4__panel_a/curve_orange,batch0/case4/figure_4__panel_a,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,Thermal Shock Synthesis for Loading Sub-2 nm Ru Nanoclusters on Titanium Nitride as a Remarkable Electrocatalyst toward Hydrogen Evolution Reaction,figure_4,a,3,curve_orange,Pt/C,Pt/C,Pt/C,Pt/C,Pt/C,Pt/C,orange,solid with dense point markers,small circle markers,complete,18,yes,primary_main_HER,no,HER,alkaline,1.0 m KOH,RHE,unclear,three_electrode_half_cell,lsv,geometric_area,Pt/C,benchmark,composite,"[""Pt""]",carbon,glassy carbon,composite,True,False,completed,no,18,-0.12624516129032254,0.03743225806451612,-95.53346994535521,-0.34853142076503685,Potential (V vs. RHE),V vs. RHE,Current Density (mA cm^-2),mA cm^-2,linear,linear,,
batch0/case4/figure_4__panel_a/curve_green,batch0/case4/figure_4__panel_a,batch0/case4,10.1002/adma.202403525,https://doi.org/10.1002/adma.202403525,Thermal Shock Synthesis for Loading Sub-2 nm Ru Nanoclusters on Titanium Nitride as a Remarkable Electrocatalyst toward Hydrogen Evolution Reaction,figure_4,a,4,curve_green,TiN,TiN,TiN,TiN,TiN,TiN,green,solid with dense point markers,small triangle markers,partial,49,yes,primary_main_HER,yes,HER,alkaline,1.0 m KOH,RHE,unclear,three_electrode_half_cell,lsv,geometric_area,TiN,support_control,nitride,"[""Ti""]",,glassy carbon,unknown,False,False,completed,yes,49,-0.3976774193548387,-0.026064516129032243,-1.1697404371584792,-0.45252732240438076,Potential (V vs. RHE),V vs. RHE,Current Density (mA cm^-2),mA cm^-2,linear,linear,,
