case_rel_path,figure_id,panel_id,curve_label,paper_title,figure6_group,both_better_global,both_better_and_widens,enrich_reported_material_name,enrich_material_class,active_elements,precious_elements,support_material,substrate_material,delta_eta10_mV,delta_eta50_mV,gap_widening_eta50_minus_eta10_mV,condition_alkaline,pm_containing,alkaline_PM_interaction,motif_alloy_class,Pt_containing,Ir_containing,Ru_containing,Pd_containing,motif_carbon_support,motif_chalcogen,motif_selenide_telluride,motif_phosphide,motif_oxide_hydroxide,motif_single_atom,motif_array_or_foam_architecture,PM_plus_oxophilic_partner,Pt_plus_partner,Ru_plus_partner,Pt_alloy_or_multimetal,Ru_chalcogen,multi_metal,has_oxophilic_partner,element_Ni,element_Mo,element_Co,element_Fe,element_P,element_S,element_Se,element_Te,dataset,manual_elements,manual_pm_elements,manual_nonpm_metal_partners,manual_tm_oxophilic_partners,manual_main_group_partners,manual_pm_core,manual_partner_type,manual_identity_family,manual_is_alloy_or_metallic_glass,manual_is_single_atom_or_site_isolated,manual_has_carbon_support,manual_has_oxide_hydroxide_interface,manual_has_chalcogenide,manual_has_phosphide,manual_has_carbide_boride_nitride,manual_pm_count,manual_nonpm_metal_partner_count,audit_strict_subfamily,audit_confidence,audit_issue_flag,audit_note,audit_elements_compact,audit_pm_compact,analysis_dataset,eta10_good,eta50_good,transition_class_strict,both_better,alkaline_pm_branch
batch1/case44,figure_5,a,NiP2-600 (c),Phase-Junction Electrocatalysts towards Enhanced Hydrogen Evolution Reaction in Alkaline Media,Acidic non-PM,False,False,NiP2-600 (c),phosphide,"{'Ni', 'P'}",[],,carbon cloth,128.55698595062665,127.81981051386164,-0.7371754367649999,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,AB,"Ni,P",,Ni,Ni,P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Ni,P",,AB,False,False,neither,False,
batch1/case44,figure_5,a,NiP2-650 (c/m),Phase-Junction Electrocatalysts towards Enhanced Hydrogen Evolution Reaction in Alkaline Media,Acidic non-PM,False,False,NiP2-650 (c/m),phosphide,"{'Ni', 'P'}",[],,carbon cloth,132.72619381212192,136.24540524502615,3.5192114329042283,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,AB,"Ni,P",,Ni,Ni,P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Ni,P",,AB,False,False,neither,False,
batch1/case44,figure_5,a,NiP2-700 (c/m),Phase-Junction Electrocatalysts towards Enhanced Hydrogen Evolution Reaction in Alkaline Media,Acidic non-PM,False,False,NiP2-700 (c/m),phosphide,"{'Ni', 'P'}",[],,carbon cloth,145.55689254454646,149.0840614934097,3.5271689488632774,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,AB,"Ni,P",,Ni,Ni,P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Ni,P",,AB,False,False,neither,False,
batch1/case44,figure_5,a,NiP2-750 (m),Phase-Junction Electrocatalysts towards Enhanced Hydrogen Evolution Reaction in Alkaline Media,Acidic non-PM,False,False,NiP2-750 (m),phosphide,"{'Ni', 'P'}",[],,carbon cloth,196.60276591886856,194.7645548650832,-1.8382110537854144,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,AB,"Ni,P",,Ni,Ni,P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Ni,P",,AB,False,False,neither,False,
batch1/case48,figure_3,a,Co0.85Se,Reversed Active Sites Boost the Intrinsic Activity of Graphene-like Cobalt Selenide for Hydrogen Evolution,Acidic non-PM,False,False,Co0.85Se,other,"{'Co', 'Se'}",[],,,156.57963607336393,182.23139919714143,25.651763123777528,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,AB,"Co,Se",,Co,Co,Se,non-PM,no PM,non-PM chalcogenide,False,False,False,False,True,False,False,0,1,non-PM chalcogenide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Se",,AB,False,False,neither,False,
batch1/case88,figure_3,c,1T0.72-MoS2@NiS2,Interfacial electronic structure engineering on molybdenum sulfide for robust dual-pH hydrogen evolution,Acidic non-PM,False,False,1T0.72-MoS2@NiS2,composite,"{'Mo', 'S', 'Ni'}",[],,carbon cloth,123.79589719029376,93.17801066786868,-30.61788652242508,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,AB,"Mo,Ni,S",,"Mo,Ni","Mo,Ni",S,non-PM,no PM,non-PM chalcogenide,False,False,True,False,True,False,False,0,2,non-PM chalcogenide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Mo,Ni,S",,AB,False,False,neither,False,
batch1/case88,figure_3,c,1T0.81-MoS2@Ni2P,Interfacial electronic structure engineering on molybdenum sulfide for robust dual-pH hydrogen evolution,Acidic non-PM,False,False,1T0.81-MoS2@Ni2P,composite,"{'Mo', 'S', 'Ni', 'P'}",[],,carbon cloth,104.83636653895276,64.24373847027101,-40.59262806868175,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,AB,"Mo,Ni,P,S",,"Mo,Ni","Mo,Ni","P,S",non-PM,no PM,non-PM phosphide,False,False,True,False,True,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Mo,Ni,P,S",,AB,False,False,neither,False,
batch2/case119,figure_3,a,MoO2/MoS2/C,All-pH Stable Sandwich-Structured MoO2/MoS2/C Hollow Nanoreactors for Enhanced Electrochemical Hydrogen Evolution,Acidic non-PM,False,False,MoO2/MoS2/C,composite,"{'Mo', 'S', 'C', 'O'}",[],defective carbon shell,Ni foam,42.50965473514324,49.79565385679922,7.285999121655976,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,AB,"C,Mo,O,S",,Mo,Mo,"C,O,S",non-PM,no PM,non-PM chalcogenide,False,False,True,True,True,False,False,0,1,non-PM chalcogenide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Mo,O,S",,AB,False,False,neither,False,
batch2/case18,figure_4,a,I,Cobalt-Doping in Molybdenum-Carbide Nanowires Toward Efficient Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,Mo2C,carbide,"{'Mo', 'C'}",[],,glassy carbon,172.94126702405103,201.319182845552,28.377915821500977,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,AB,"C,Mo",,Mo,Mo,C,non-PM,no PM,non-PM other,False,False,True,False,False,False,True,0,1,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Mo",,AB,False,False,neither,False,
batch2/case18,figure_4,a,II,Cobalt-Doping in Molybdenum-Carbide Nanowires Toward Efficient Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,Co-Mo2C-0.012,carbide,"{'Co', 'Mo', 'C'}",[],,glassy carbon,142.5153035352072,164.80802665893944,22.29272312373223,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,AB,"C,Co,Mo",,"Co,Mo","Co,Mo",C,non-PM,no PM,non-PM other,False,False,True,False,False,False,True,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Co,Mo",,AB,False,False,neither,False,
batch2/case18,figure_4,a,III,Cobalt-Doping in Molybdenum-Carbide Nanowires Toward Efficient Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,Co-Mo2C-0.020,carbide,"{'Co', 'Mo', 'C'}",[],,glassy carbon,103.9757497826717,116.63286004056796,12.65711025789625,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,AB,"C,Co,Mo",,"Co,Mo","Co,Mo",C,non-PM,no PM,non-PM other,False,False,True,False,False,False,True,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Co,Mo",,AB,False,False,neither,False,
batch2/case18,figure_4,a,IV,Cobalt-Doping in Molybdenum-Carbide Nanowires Toward Efficient Electrocatalytic Hydrogen Evolution,Acidic non-PM,False,False,Co-Mo2C-0.035,carbide,"{'Co', 'Mo', 'C'}",[],,glassy carbon,207.66942552883225,220.08113590263696,12.41171037380471,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,AB,"C,Co,Mo",,"Co,Mo","Co,Mo",C,non-PM,no PM,non-PM other,False,False,True,False,False,False,True,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","C,Co,Mo",,AB,False,False,neither,False,
batch2/case187,figure_4,d,Fe-CoP/HPFs,Rational Design of Transition Metal Phosphide-Based Electrocatalysts for Hydrogen Evolution,Acidic non-PM,False,False,Fe-CoP/HPFs,phosphide,"{'Co', 'P', 'Fe'}",[],,,179.9375774255824,246.6037494001881,66.66617197460567,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,AB,"Co,Fe,P",,"Co,Fe","Co,Fe",P,non-PM,no PM,non-PM phosphide,False,False,False,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Fe,P",,AB,False,False,neither,False,
batch2/case187,figure_4,d,Mn-CoP/HPFs,Rational Design of Transition Metal Phosphide-Based Electrocatalysts for Hydrogen Evolution,Acidic non-PM,False,False,Mn-CoP/HPFs,phosphide,"{'Co', 'Mn', 'P'}",[],,,160.16819299433422,179.32499903748368,19.15680604314946,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,AB,"Co,Mn,P",,"Co,Mn","Co,Mn",P,non-PM,no PM,non-PM phosphide,False,False,False,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Mn,P",,AB,False,False,neither,False,
batch2/case187,figure_4,d,Ni-CoP/HPFs,Rational Design of Transition Metal Phosphide-Based Electrocatalysts for Hydrogen Evolution,Acidic non-PM,False,False,Ni-CoP/HPFs,phosphide,"{'Co', 'Ni', 'P'}",[],,,126.0195173105411,137.1542471025462,11.134729792005103,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,AB,"Co,Ni,P",,"Co,Ni","Co,Ni",P,non-PM,no PM,non-PM phosphide,False,False,False,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Ni,P",,AB,False,False,neither,False,
batch2/case187,figure_4,g,W-CoP NAs/CC,Rational Design of Transition Metal Phosphide-Based Electrocatalysts for Hydrogen Evolution,Acidic non-PM,False,False,W-CoP NAs/CC,phosphide,"{'Co', 'W', 'P'}",[],,carbon cloth,55.67984654796375,68.48407943184318,12.804232883879436,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,AB,"Co,P,W",,"Co,W","Co,W",P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,P,W",,AB,False,False,neither,False,
batch2/case187,figure_5,h,Co2Fe-P,Rational Design of Transition Metal Phosphide-Based Electrocatalysts for Hydrogen Evolution,Acidic non-PM,False,False,Co2Fe-P,phosphide,"{'Co', 'P', 'Fe'}",[],,,86.97318007662835,108.1007115489874,21.12753147235904,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,AB,"Co,Fe,P",,"Co,Fe","Co,Fe",P,non-PM,no PM,non-PM phosphide,False,False,False,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Fe,P",,AB,False,False,neither,False,
batch2/case197,figure_4,a,CoBDC/MXene,Electronic Modulation of Metal–Organic Frameworks by Interfacial Bridging for Efficient pH-Universal Hydrogen Evolution,Acidic non-PM,False,False,CoBDC/MXene,composite,"{'Co', 'Ti'}",[],Ti3C2Tx MXene,,18.23529411764705,5.843137254901961,-12.392156862745097,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,AB,"Co,Ti",,"Co,Ti","Co,Ti",,non-PM,no PM,non-PM other,False,False,False,False,False,False,False,0,2,non-PM residual/unclear,low,residual_family;coarse_or_residual_label,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Ti",,AB,False,False,neither,False,
batch2/case20,figure_1,d,Ni0.7Co1.3P,Mechanistic Insights on Ternary Ni2-xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting | Mechanistic Insights on Ternary Ni2−xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting,Acidic non-PM,False,False,Ni0.7Co1.3P,phosphide,"{'Co', 'Ni', 'P'}",[],,carbon fiber paper,93.01391862955036,166.64748394004283,73.63356531049249,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,AB,"Co,Ni,P",,"Co,Ni","Co,Ni",P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Ni,P",,AB,False,False,neither,False,
batch2/case20,figure_1,d,Ni1.2Co0.8P,Mechanistic Insights on Ternary Ni2-xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting | Mechanistic Insights on Ternary Ni2−xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting,Acidic non-PM,False,False,Ni1.2Co0.8P,phosphide,"{'Co', 'Ni', 'P'}",[],,carbon fiber paper,66.5952890792292,121.98741970021416,55.39213062098494,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,AB,"Co,Ni,P",,"Co,Ni","Co,Ni",P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Ni,P",,AB,False,False,neither,False,
batch2/case20,figure_1,d,Ni1.4Co0.6P,Mechanistic Insights on Ternary Ni2-xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting | Mechanistic Insights on Ternary Ni2−xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting,Acidic non-PM,False,False,Ni1.4Co0.6P,phosphide,"{'Co', 'Ni', 'P'}",[],,carbon fiber paper,55.02301563023504,109.49448267752594,54.4714670472909,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,AB,"Co,Ni,P",,"Co,Ni","Co,Ni",P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Ni,P",,AB,False,False,neither,False,
batch2/case20,figure_1,d,Ni1.8Co0.2P,Mechanistic Insights on Ternary Ni2-xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting | Mechanistic Insights on Ternary Ni2−xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting,Acidic non-PM,False,False,Ni1.8Co0.2P,phosphide,"{'Co', 'Ni', 'P'}",[],,carbon fiber paper,93.21090874094752,142.75695931477514,49.54605057382763,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,AB,"Co,Ni,P",,"Co,Ni","Co,Ni",P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,2,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Co,Ni,P",,AB,False,False,neither,False,
batch2/case20,figure_1,d,Ni2P,Mechanistic Insights on Ternary Ni2-xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting | Mechanistic Insights on Ternary Ni2−xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting,Acidic non-PM,False,False,Ni2P,phosphide,"{'Ni', 'P'}",[],,carbon fiber paper,102.50516098424144,190.75694558831609,88.25178460407463,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,AB,"Ni,P",,Ni,Ni,P,non-PM,no PM,non-PM phosphide,False,False,True,False,False,True,False,0,1,non-PM phosphide-containing,medium,ok,"Subfamily inferred from catalyst label, elements, material class, support/substrate metadata.","Ni,P",,AB,False,False,neither,False,
